,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
16,ARHGEF1,BCL2L11,ATP2A2,C17orf62,COTL1,CTA-414D7.1,LMNA,PLTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ARIH1,BCL6,BAZ2A,C9orf72,CSRNP1,DSTYK,MALT1,RC3H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ARRB1,BET1L,BCL6,CAPN2,CSRP1,EBF1,MED15,RP13-104F24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ASAH1,BMPR1B,BLOC1S6,CDC42SE1,CTD-3252C9.4,EBF1,PALLD,SCPEP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ATAD3C,C12orf45,BRD2,CDH12,CXCR2,EMX2,PDXK,SERPINE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ATP5B,C17orf107,C17orf49,CFLAR,DCUN1D1,ERCC4,PHF20,SLC12A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ATXN7,C1GALT1,C6orf89,CH507-513H4.3,DDB1,EYA1,PHF3,SLC39A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AZIN1,CALM1,CAPZA2,CH507-513H4.4,ECE1,FAM184B,PTK2B,SNX14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BAIAP3,CAMKK2,CBX5,CH507-513H4.6,EHD1,FBXL18,RGL2,SPG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BAIAP3,CBFA2T2,CCDC88B,CLCA4,FAM168A,GON4L,SF3B2,SRRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BANP,CCDC84,CCM2,CLCN3,FMNL1,GPR85,SLC44A2,SYNCRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BIRC2,CD300C,CCND2,CLK1,FRMD4B,IGF1,STXBP5,TNFSF9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,C4orf32,CD44,CHKB,COPB1,GPBP1,IPO7,SUN1,UACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,C6orf62,CFP,CHPF2,CTD-2311B13.7,GRAMD1A,KBTBD6,TAF10,WASHC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CAMKK1,CHD4,CIRBP,DACT3,GTF2IP18,KLLN,TBL1X,YBX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CAPG,CIITA,CLTC,DCAKD,HCFC1,LINC01452,TOX4,ZNF426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
