,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
168,RP11-326C3.2_antisense:SLVRNA,SRGAP1_protein_coding:SLVRNA,WDFY3_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,RP11-54A4.2_antisense:SLVRNA,SRGAP2_protein_coding:SLVRNA,XDH_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,RP4-635A23.6_TEC:SLVRNA,SRRM2_processed_transcript:SLVRNA,ZBTB7A_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,RP4-669L17.4_processed_transcript:SLVRNA,STK10_retained_intron:SLVRNA,ZFPL1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,RPL11_protein_coding:SLVRNA,SVIL_protein_coding:SLVRNA,ZNF268_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,RPL5_protein_coding:SLVRNA,TACC2_protein_coding:SLVRNA,ZNF276_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,RPLP0_protein_coding:SLVRNA,TANK_retained_intron:SLVRNA,ZNF335_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,RPN1_protein_coding:SLVRNA,TBL1XR1_protein_coding:SLVRNA,ZNF438_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,RXRA_processed_transcript:SLVRNA,TF_protein_coding:SLVRNA,ZNF638_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,SBNO2_protein_coding:SLVRNA,TINF2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,SBNO2_retained_intron:SLVRNA,TMC6_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,SCAF1_protein_coding:SLVRNA,TMEM219_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,SCAP_protein_coding:SLVRNA,TMUB1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,SCLT1_protein_coding:SLVRNA,TNFAIP1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SCNN1A_protein_coding:SLVRNA,TNFAIP2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,SCYL1_protein_coding:SLVRNA,TRIM29_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,SCYL1_retained_intron:SLVRNA,UBAP2L_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,SEMA4B_retained_intron:SLVRNA,UBN2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,SEPHS2_protein_coding:SLVRNA,UNC93B1_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,SERPINA1_processed_transcript:SLVRNA,USP36_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,SERPINB2_protein_coding:SLVRNA,UVSSA_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,SIPA1_protein_coding:SLVRNA,VEGFA_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,SIRPB2_protein_coding:SLVRNA,VEZF1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,SLC20A2_protein_coding:SLVRNA,WLS_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,SLC25A29_protein_coding:SLVRNA,WSB1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,SLC25A48_protein_coding:SLVRNA,WSB1_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,SLC2A4RG_processed_transcript:SLVRNA,WWC3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,SLC35A3_protein_coding:SLVRNA,ZMIZ2_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,SLC7A5_protein_coding:SLVRNA,ZNF117_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,SLC9A3R1_protein_coding:SLVRNA,ZNFX1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,SMIM3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,SMIM5_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,SNX27_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,SP1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,SPECC1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,SPHK1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,SRSF4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,SRSF6_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,SSH1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,STAT1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,STK38_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,SUPT6H_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,TAGLN_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,TCF25_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,TCP1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,TECR_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,THEMIS2_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,TJP3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,TLR1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,TMEM154_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,TMEM159_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,TMEM176B_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,TMEM50A_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,TNFAIP3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,TNFSF14_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,TOR1A_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,TPD52L2_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,TPM4_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,TPP1_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,TPST2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,TRAF3IP3_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,TRIM56_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,TRPM4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,TTLL3_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,TXNIP_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,UBR4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,USF2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,USP10_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,VCP_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,VWA1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,WARS_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,WDFY3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,YWHAQ_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,ZBED1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,ZDHHC18_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,ZNF24_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,ZNF398_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,ZNF638_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,ZNF664_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,ZSWIM8_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
