,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
31,CAPG_protein_coding:SLVRNA,CIITA_protein_coding:SLVRNA,CLTC_protein_coding:SLVRNA,DCAKD_protein_coding:SLVRNA,HCFC1_protein_coding:SLVRNA,LINC01452_lincRNA:SLVRNA,TOX4_protein_coding:SLVRNA,ZNF426_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CARS_protein_coding:SLVRNA,CISH_retained_intron:SLVRNA,CNOT8_protein_coding:SLVRNA,DGKA_processed_transcript:SLVRNA,HDAC4_protein_coding:SLVRNA,LLNLF-96A1.1_antisense:SLVRNA,XAF1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CCDC71L_protein_coding:SLVRNA,CLINT1_protein_coding:SLVRNA,CNPPD1_protein_coding:SLVRNA,DOCK5_protein_coding:SLVRNA,HELZ2_protein_coding:SLVRNA,LPAR4_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CD81_protein_coding:SLVRNA,CLIP1_protein_coding:SLVRNA,COL18A1_protein_coding:SLVRNA,EDF1_protein_coding:SLVRNA,HGS_retained_intron:SLVRNA,LRAT_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CDH1_protein_coding:SLVRNA,CLPB_protein_coding:SLVRNA,COPG1_protein_coding:SLVRNA,ELMO1_retained_intron:SLVRNA,HOOK1_protein_coding:SLVRNA,LRTM1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CDK11A_retained_intron:SLVRNA,CLTA_protein_coding:SLVRNA,COPZ1_protein_coding:SLVRNA,ERLIN1_protein_coding:SLVRNA,IL1B_processed_transcript:SLVRNA,MATR3_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CDK5RAP3_retained_intron:SLVRNA,CMPK1_protein_coding:SLVRNA,COQ10B_protein_coding:SLVRNA,ETFDH_protein_coding:SLVRNA,IL4R_protein_coding:SLVRNA,ME2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CDKN2D_protein_coding:SLVRNA,CPD_protein_coding:SLVRNA,CSTB_retained_intron:SLVRNA,FAM120A_protein_coding:SLVRNA,ILF3_protein_coding:SLVRNA,NCALD_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CEACAM3_nonsense_mediated_decay:SLVRNA,CPVL_protein_coding:SLVRNA,CYTH1_retained_intron:SLVRNA,FBRS_retained_intron:SLVRNA,INPPL1_protein_coding:SLVRNA,NMRK1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CENPB_protein_coding:SLVRNA,CR1_protein_coding:SLVRNA,DDX5_protein_coding:SLVRNA,FCGBP_protein_coding:SLVRNA,IVNS1ABP_processed_transcript:SLVRNA,NOVA1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CHMP4C_protein_coding:SLVRNA,CTDSP2_protein_coding:SLVRNA,DENND4B_retained_intron:SLVRNA,FCGR2A_nonsense_mediated_decay:SLVRNA,KDM6B_protein_coding:SLVRNA,NPAS3_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CLDN23_protein_coding:SLVRNA,DDX17_retained_intron:SLVRNA,DGKA_retained_intron:SLVRNA,FCGR2A_processed_transcript:SLVRNA,LARP1_protein_coding:SLVRNA,OR10H5_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CLEC4A_protein_coding:SLVRNA,DENND3_protein_coding:SLVRNA,DHX36_protein_coding:SLVRNA,FCHO1_retained_intron:SLVRNA,LFNG_protein_coding:SLVRNA,ORC6_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CLK3_retained_intron:SLVRNA,DNAJB2_retained_intron:SLVRNA,DLST_protein_coding:SLVRNA,FLT1_protein_coding:SLVRNA,LILRB2_retained_intron:SLVRNA,OTUD7B_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CNDP2_protein_coding:SLVRNA,DNM2_protein_coding:SLVRNA,DNAJB9_protein_coding:SLVRNA,FOXJ2_protein_coding:SLVRNA,LTN1_protein_coding:SLVRNA,PAX5_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CSF2RA_protein_coding:SLVRNA,DUSP6_protein_coding:SLVRNA,DOCK8_protein_coding:SLVRNA,FOXK1_protein_coding:SLVRNA,LZTS2_protein_coding:SLVRNA,PAX6_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CSNK2A2_protein_coding:SLVRNA,DYSF_processed_transcript:SLVRNA,DUOX2_retained_intron:SLVRNA,FUT3_protein_coding:SLVRNA,MED12_protein_coding:SLVRNA,PDGFA_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CYB5D1_protein_coding:SLVRNA,DYSF_protein_coding:SLVRNA,DYNC1LI2_protein_coding:SLVRNA,GATAD2A_nonsense_mediated_decay:SLVRNA,MGAT5_protein_coding:SLVRNA,PGBD4_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CYBA_retained_intron:SLVRNA,EFHC1_protein_coding:SLVRNA,EGLN2_protein_coding:SLVRNA,GIGYF1_protein_coding:SLVRNA,MICAL2_retained_intron:SLVRNA,PPARA_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CYHR1_retained_intron:SLVRNA,ELF4_protein_coding:SLVRNA,EGR3_processed_transcript:SLVRNA,HECA_protein_coding:SLVRNA,MME_protein_coding:SLVRNA,PSG2_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CYSTM1_protein_coding:SLVRNA,ELL2_protein_coding:SLVRNA,EIF3J_protein_coding:SLVRNA,HIST1H2AC_protein_coding:SLVRNA,MMP19_nonsense_mediated_decay:SLVRNA,RAP1GAP_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,DDHD1_protein_coding:SLVRNA,EPHB3_protein_coding:SLVRNA,EIF4E_protein_coding:SLVRNA,HLA-DMB_protein_coding:SLVRNA,MTRNR2L3_protein_coding:SLVRNA,RP11-113I24.1_processed_pseudogene:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,DDX3Y_processed_transcript:SLVRNA,ERGIC1_retained_intron:SLVRNA,ERLIN2_protein_coding:SLVRNA,HSPB8_protein_coding:SLVRNA,MXD3_protein_coding:SLVRNA,RP11-124B7.1_processed_pseudogene:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,DDX6_retained_intron:SLVRNA,FAM53B_protein_coding:SLVRNA,ERP29_protein_coding:SLVRNA,IGSF10_protein_coding:SLVRNA,MYO1E_protein_coding:SLVRNA,RP11-219E24.1_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,DENND3_retained_intron:SLVRNA,FAM76A_protein_coding:SLVRNA,EWSR1_protein_coding:SLVRNA,IL1R2_retained_intron:SLVRNA,MYO9B_retained_intron:SLVRNA,RP11-417L19.2_lincRNA:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,DFNB31_protein_coding:SLVRNA,FBXO38_protein_coding:SLVRNA,FAM32A_protein_coding:SLVRNA,IL36G_protein_coding:SLVRNA,NBPF20_protein_coding:SLVRNA,RP11-69P2.1_processed_pseudogene:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DGAT2_protein_coding:SLVRNA,FCAR_protein_coding:SLVRNA,FAM49B_retained_intron:SLVRNA,IL4R_retained_intron:SLVRNA,NFIA_protein_coding:SLVRNA,RP11-715J22.2_antisense:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,DGAT2_retained_intron:SLVRNA,FLII_nonsense_mediated_decay:SLVRNA,FHOD1_retained_intron:SLVRNA,INF2_protein_coding:SLVRNA,NFKBIE_protein_coding:SLVRNA,RP11-96D1.11_antisense:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,DHRS9_protein_coding:SLVRNA,FLNA_protein_coding:SLVRNA,FLNA_retained_intron:SLVRNA,INTS1_protein_coding:SLVRNA,NFRKB_protein_coding:SLVRNA,RP5-1043L3.1_lincRNA:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,DHX16_protein_coding:SLVRNA,FNDC3A_protein_coding:SLVRNA,FLOT1_protein_coding:SLVRNA,IRF9_retained_intron:SLVRNA,NLRP1_protein_coding:SLVRNA,RP5-1096D14.6_antisense:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,DLG1_retained_intron:SLVRNA,FOS_processed_transcript:SLVRNA,FNBP1L_protein_coding:SLVRNA,ITGB2_retained_intron:SLVRNA,NR4A1_protein_coding:SLVRNA,RPS6KA6_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
